ID;Name;Longitude;Latitude
1;CADOLIVE;43.39419662;5.532233546
2;LATRINITE;43.7433481;7.339460739
3;RIBEYRET;44.41073046;5.558028621
4;DEMANDOLX;43.8698631;6.574405925
5;TARTONNE;44.07846638;6.383931007
6;CASTELLANE;43.84498622;6.49029842
7;OZE;44.50582948;5.798754861
8;VEDENE;43.97086129;4.903278348
9;SAINT-ANTONIN-DU-VAR;43.5112335;6.290021877
10;LESFERRES;43.84242327;7.093427552
11;LEBERSAC;44.40569648;5.753409641
12;CANTARON;43.7712031;7.313168927
13;VILLARS-COLMARS;44.19829162;6.568766743
14;MEOUNES-LES-MONTRIEUX;43.27394252;5.96671081
15;TOURNEFORT;43.94139888;7.158503151
16;SOLEILHAS;43.85997606;6.648607532
17;LABOUILLADISSE;43.39719227;5.619807491
18;SAINT-MARTIN-DE-QUEYRIERES;44.83752573;6.582550107
19;SAINT-SAUVEUR;44.53658205;6.529203017
