CodeInsee,CodePostal,Commune ,Latitude ,Longitude,Id
13020,13950,CADOLIVE,5.532233546,43.39419662,1
6149,6340,LA TRINITE,7.339460739,43.7433481,2
5117,5150,RIBEYRET,5.558028621,44.41073046,3
4069,4120,DEMANDOLX,6.574405925,43.8698631,4
4214,4330,TARTONNE,6.383931007,44.07846638,5
4039,4120,CASTELLANE,6.49029842,43.84498622,6
5099,5400,OZE,5.798754861,44.50582948,7
84141,84270,VEDENE,4.903278348,43.97086129,8
83154,83510,SAINT-ANTONIN-DU-VAR,6.290021877,43.5112335,9
6061,6510,LES FERRES,7.093427552,43.8424232733,10
5021,5700,LE BERSAC,5.753409641,44.40569648,11
6031,6340,CANTARON,7.313168927,43.7712031,12
4240,4370,VILLARS-COLMARS,6.568766743,44.19829162,13
83077,83136,MEOUNES-LES-MONTRIEUX,5.96671081,43.27394252,14
6146,6420,TOURNEFORT,7.158503151,43.94139888,15
4210,4120,SOLEILHAS,6.648607532,43.85997606,16
13016,13720,LA BOUILLADISSE,5.619807491,43.39719227,17
5151,5120,SAINT-MARTIN-DE-QUEYRIERES,6.582550107,44.83752573,18
5156,5200,SAINT-SAUVEUR,6.529203017,44.53658205,19
84084,84240,LA MOTTE-D'AIGUES,5.52149188,43.78408403,20
84069,84340,MALAUCENE,5.149850809,44.18844822,21
83056,83830,FIGANIERES,6.498704789,43.56721525,22
13081,13340,ROGNAC,5.2310622,43.49713473,23
83019,83230,BORMES-LES-MIMOSAS,6.349569873,43.16227221,24
4108,4350,MALIJAI,6.050424374,44.03366605,25
13207,13007,MARSEILLE--7E--ARRONDISSEMENT,5.363234404,43.28251778,26
5023,5100,BRIANCON,6.64947524,44.8994986,27
4007,4170,ANGLES,6.552320635,43.94432931,28
6154,6750,VALDEROURE,6.710035686,43.79420445,29
13213,13013,MARSEILLE-13E--ARRONDISSEMENT,5.433722387,43.349278,30
4122,4510,MIRABEAU,6.080159316,44.0562296,31
6134,6750,SERANON,6.69043297,43.76566628,32
5073,5300,LAZER,5.849950604,44.35173007,33
4034,4700,LA BRILLANNE,5.884218388,43.93190054,34
5047,5300,EOURRES,5.72894554,44.21383734,35
6081,6910,LE MAS,6.858940747,43.83691295,36
83058,83780,FLAYOSC,6.36275721,43.5422121,37
4063,4220,CORBIERES,5.745904525,43.76069098,38
6077,6440,LUCERAM,7.352655753,43.90057269,39
5029,5260,CHABOTTES,6.167919786,44.64757832,40
84088,84210,PERNES-LES-FONTAINES,5.039591002,43.99605505,41
13067,13660,ORGON,5.02340521,43.77961301,42
84014,84120,BEAUMONT-DE-PERTUIS,5.695991272,43.7379109,43
5007,5350,ARVIEUX,6.722308594,44.76389803,44
83001,83600,LES ADRETS-DE-L'ESTEREL,6.811087967,43.53562293,45
6026,6530,CABRIS,6.878255098,43.65995606,46
6044,6480,LA COLLE-SUR-LOUP,7.097736438,43.68717014,47
13045,13690,GRAVESON,4.767173692,43.85391117,48
4141,4230,ONGLES,5.724808814,44.03142598,49
13031,13112,LA DESTROUSSE,5.598859324,43.37642328,50
13007,13390,AURIOL,5.658390187,43.36079469,51
4097,4420,LA JAVIE,6.321576075,44.19719902,52
4203,4140,SELONNET,6.2937933,44.37172108,53
84018,84570,BLAUVAC,5.243293797,44.03698937,54
84085,84220,MURS,5.243694621,43.96476458,55
5110,5290,PUY-SAINT-VINCENT,6.464747374,44.81442506,56
84074,84360,MERINDOL,5.201534829,43.76192438,57
4135,4360,MOUSTIERS-SAINTE-MARIE,6.228189096,43.83832786,58
5049,5110,ESPARRON,5.893028482,44.46273959,59
6029,06400/06150,CANNES,7.004275927,43.55262028,60
5124,5000,LA ROCHETTE,6.148830981,44.59321141,61
4058,5110,CLARET,5.964676732,44.37381183,62
5170,5130,TALLARD,6.044856029,44.45912207,63
6088,06000/06100/06200/06300,NICE,7.238268895,43.71199927,64
84058,84480,LACOSTE,5.265922719,43.8257421,65
6008,6260,AUVARE,6.914678968,44.00742058,66
13105,13560,SENAS,5.086878844,43.7446066,67
83120,83640,SAINT-ZACHARIE,5.71820851,43.37753006,68
84051,84220,GOULT,5.247827594,43.86725206,69
6108,6550,LA ROQUETTE-SUR-SIAGNE,6.950497948,43.58490925,70
4019,4400,BARCELONNETTE,6.652150897,44.37856142,71
5080,5140,MONTBRAND,5.667659516,44.59158291,72
83033,83660,CARNOULES,6.196679749,43.29459851,73
5160,5300,SALERANS,5.700960583,44.24212982,74
5136,5600,SAINT-CREPIN,6.635550273,44.72432605,75
4224,4240,UBRAYE,6.687184632,43.90704467,76
4209,4200,SISTERON,5.93083716,44.20019251,77
13117,13127,VITROLLES,5.263577877,43.44978317,78
6045,6910,COLLONGUES,6.863831424,43.89359812,79
5176,5130,VALSERRES,6.137893936,44.4892843,80
13026,13220,CHATEAUNEUF-LES-MARTIGUES,5.147538226,43.38659064,81
84066,84220,LIOUX,5.309398853,43.97933351,82
83044,83840,COMPS-SUR-ARTUBY,6.502931857,43.70355201,83
13100,13210,SAINT-REMY-DE-PROVENCE,4.853666653,43.7834249,84
83060,83670,FOX-AMPHOUX,6.109093276,43.59554175,85
83006,83560,ARTIGUES,5.802399934,43.57650188,86
5093,5100,NEVACHE,6.598629355,45.04412864,87
83131,83210,SOLLIES-TOUCAS,5.986939086,43.21282693,88
5102,5700,LA PIARRE,5.648032054,44.47840872,89
5177,5560,VARS,6.713514569,44.59252209,90
6159,6230,VILLEFRANCHE-SUR-MER,7.322254105,43.71221531,91
5163,5160,LE SAUZE-DU-LAC,6.323176393,44.48557424,92
13074,13860,PEYROLLES-EN-PROVENCE,5.576957348,43.62846769,93
6125,6470,SAINT-MARTIN-D'ENTRAUNES,6.74588335,44.14944141,94
13083,13870,ROGNONAS,4.798579775,43.90008332,95
4065,4230,CRUIS,5.838469491,44.0831627,96
83100,83390,PUGET-VILLE,6.148930541,43.27634759,97
5040,5230,CHORGES,6.287823926,44.54551243,98
5179,5400,VEYNES,5.822860025,44.55715297,99
13022,13260,CASSIS,5.55117811,43.22304701,100
4157,4410,PUIMOISSON,6.122002138,43.87081528,101
4144,4120,LA PALUD-SUR-VERDON,6.327088746,43.7966483,102
5055,5140,LA FAURIE,5.740405948,44.56745873,103
6107,6910,ROQUESTERON-GRASSE,6.990119804,43.84915342,104
84089,84120,PERTUIS,5.520524803,43.68723575,105
83101,83350,RAMATUELLE,6.637547342,43.21861262,106
83037,83170,LA CELLE,5.998614116,43.38437035,107
84079,84390,MONIEUX,5.341492231,44.05686682,108
5001,5460,ABRIES,6.941644428,44.81634625,109
4088,4300,FORCALQUIER,5.788282757,43.95990824,110
4045,4280,CERESTE,5.589769262,43.85031617,111
4202,4320,SAUSSES,6.779369393,44.01227113,112
5010,5140,ASPRES-SUR-BUECH,5.772032987,44.56175121,113
5086,5150,MONTJAY,5.614552705,44.36643809,114
6119,6660,SAINT-DALMAS-LE-SELVAGE,6.840845396,44.28946568,115
6037,6460,CAUSSOLS,6.902472332,43.73734474,116
6054,6340,DRAP,7.337240902,43.75824325,117
4057,4250,CLAMENSANE,6.0785018,44.32826636,118
4233,4200,VAUMEILH,5.956531218,44.2903077,119
84036,84470,CHATEAUNEUF-DE-GADAGNE,4.942591145,43.92763317,120
84086,84580,OPPEDE,5.169821504,43.83131753,121
4180,4330,SAINT-JACQUES,6.371285171,43.97691793,122
84099,84440,ROBION,5.110086843,43.85196787,123
13098,13920,SAINT-MITRE-LES-REMPARTS,5.014947255,43.45540299,124
5144,5800,SAINT-JACQUES-EN-VALGODEMARD,6.069646007,44.77406378,125
13033,13820,ENSUES-LA-REDONNE,5.199603076,43.35365396,126
4222,4250,TURRIERS,6.159182215,44.39158821,127
6158,6710,VILLARS-SUR-VAR,7.080245211,43.95186633,128
4176,4500,SAINTE-CROIX-DU-VERDON,6.151588824,43.76428215,129
13112,13880,VELAUX,5.249964249,43.52398546,130
5116,5600,REOTIER,6.56457885,44.68135668,131
83130,83210,SOLLIES-PONT,6.063276972,43.19076112,132
4092,4120,LA GARDE,6.571545242,43.8298617,133
6063,6850,GARS,6.816762945,43.86052267,134
5145,5260,SAINT-JEAN-SAINT-NICOLAS,6.230858475,44.67449542,135
6030,6110,LE CANNET,7.006420578,43.57297686,136
13118,13111,COUDOUX,5.254221607,43.56005154,137
6117,6670,SAINT-BLAISE,7.230223363,43.81293379,138
4142,4110,OPPEDETTE,5.592743304,43.93066048,139
5164,5160,SAVINES-LE-LAC,6.393680593,44.5273257,140
4040,4380,LE CASTELLARD-MELAN,6.131595213,44.2016432,141
6093,6260,LA PENNE,6.94222405,43.92468617,142
13056,13500,MARTIGUES,5.049454023,43.37989205,143
4017,4140,AUZET,6.311155924,44.30540016,144
83096,83470,POURCIEUX,5.788608904,43.46464406,145
13060,13590,MEYREUIL,5.500628119,43.49105225,146
83069,83400,HYERES,6.188985085,43.10187135,147
84080,84170,MONTEUX,4.984747665,44.0335256,148
83047,83260,LA CRAU,6.092683516,43.16352074,149
6084,6370,MOUANS-SARTOUX,6.964944267,43.6185304,150
83025,83119,BRUE-AURIAC,5.936645413,43.52795117,151
13042,13420,GEMENOS,5.64391464,43.29810442,152
83028,83830,CALLAS,6.57328932,43.56552884,153
4004,4500,ALLEMAGNE-EN-PROVENCE,6.03091832,43.78879025,154
13106,13240,SEPTEMES-LES-VALLONS,5.380804056,43.39349446,155
84038,84460,CHEVAL-BLANC,5.124107321,43.78867823,156
83018,83890,BESSE-SUR-ISSOLE,6.177749497,43.33994792,157
5078,5110,MONETIER-ALLEMONT,5.933971903,44.39309625,158
6057,6440,L'ESCARENE,7.365658041,43.83397177,159
6090,6580,PEGOMAS,6.922248379,43.58655532,160
5146,5140,SAINT-JULIEN-EN-BEAUCHENE,5.719799759,44.62645706,161
84065,84360,LAURIS,5.303336932,43.76303655,162
13069,13330,PELISSANNE,5.159573273,43.63083856,163
5024,5150,BRUIS,5.503888637,44.46773667,164
13091,13760,SAINT-CANNAT,5.306982573,43.61362867,165
84112,84750,SAINT-MARTIN-DE-CASTILLON,5.519193124,43.85510722,166
4190,4300,SAINT-MARTIN-LES-EAUX,5.74137178,43.87197029,167
84001,84210,ALTHEN-DES-PALUDS,4.957938042,44.00480871,168
5095,5500,LE NOYER,6.001026942,44.69999939,169
6019,6440,BLAUSASC,7.360334776,43.79346809,170
83085,83920,LA MOTTE,6.550553999,43.50785112,171
84146,84110,VILLEDIEU,5.047844415,44.28853456,172
5100,5000,PELLEAUTIER,5.998777399,44.5102663,173
4154,5160,PONTIS,6.365237766,44.4956919,174
13061,13150,SAINT-PIERRE-DE-MEZOARGUES,4.657395241,43.86123508,175
84009,84240,LA BASTIDE-DES-JOURDANS,5.646777821,43.79453976,176
84090,84240,PEYPIN-D'AIGUES,5.560033269,43.79644083,177
13051,13680,LANCON-PROVENCE,5.159536015,43.57604062,178
13002,13190,ALLAUCH,5.511347672,43.35331457,179
4099,4170,LAMBRUISSE,6.445388467,44.04483449,180
84033,84400,CASTELLET,5.481166572,43.83445227,181
6047,6510,CONSEGUDES,7.045036709,43.84069572,182
4068,4300,DAUPHIN,5.776452248,43.89324344,183
5054,5500,LA FARE-EN-CHAMPSAUR,6.058260389,44.66537663,184
4130,4230,MONTLAUX,5.85016627,44.04079238,185
5114,5160,REALLON,6.360460394,44.6107754,186
4237,4140,LE VERNET,6.402975255,44.27660683,187
5107,5100,PUY-SAINT-ANDRE,6.56677781,44.89090366,188
84002,84240,ANSOUIS,5.471366895,43.73651729,189
5084,5230,MONTGARDIN,6.233056657,44.54358478,190
4055,4330,CHAUDON-NORANTE,6.317368071,43.99191495,191
5120,5460,RISTOLAS,6.99202108,44.73584931,192
4136,4170,LA MURE-ARGENS,6.531967018,44.01661078,193
4182,4270,SAINT-JULIEN-D'ASSE,6.07806455,43.92661539,194
5088,5150,MONTMORIN,5.55351372,44.45010678,195
83111,83136,SAINTE-ANASTASIE-SUR-ISSOLE,6.124961185,43.33341038,196
5019,5140,LA BEAUME,5.653752143,44.54829147,197
13103,13300,SALON-DE-PROVENCE,5.068146496,43.64628852,198
5108,5200,PUY-SAINT-EUSEBE,6.411298295,44.56858895,199
83140,83170,TOURVES,5.927157071,43.40880156,200
5059,5000,LA FREISSINOUSE,6.008128046,44.53553417,201
4016,4200,AUTHON,6.15102271,44.24925455,202
5067,5500,LES INFOURNAS,6.113088614,44.71494528,203
6114,6730,SAINT-ANDRE-DE-LA-ROCHE,7.288713726,43.74587624,204
13052,13910,MAILLANE,4.784565707,43.82306098,205
13210,13010,MARSEILLE-10E--ARRONDISSEMENT,5.426811011,43.27551554,206
5127,5190,ROUSSET,6.266691309,44.48437855,207
84126,84110,SEGURET,5.028817201,44.21596402,208
84101,84210,LA ROQUE-SUR-PERNES,5.101755188,43.97419471,209
6162,6430,LA BRIGUE,7.651478289,44.07145556,210
84050,84220,GORDES,5.198019786,43.90901924,211
5131,5400,SAINT-AUBAN-D'OZE,5.84847801,44.48831569,212
83128,83690,SILLANS-LA-CASCADE,6.165152406,43.56588241,213
4042,4320,CASTELLET-LES-SAUSSES,6.734509005,44.04030386,214
